,품목,번역
0,반도체제조용장비,半導体
1,프로세스와 콘트롤러,プロセスとコントローラー
2,고철,金属くず
3,기타플라스틱제품,他のプラスチック製品
4,철및비합금강열연강판,鉄と非合金
5,철및비합금강중후판,鉄と非比較可能な川
6,기타정밀화학원료,その他の精密化学物質
7,실리콘웨이퍼,シリコンウェーハ
8,백금,白金
9,기타화학공업제품,その他の化学産業製品
10,화물선,貨物船
11,혼합크실렌,混合キシレン
12,고정식축전기,食事を修正しました
13,기타석유화학제품,他の石油化学製品
14,자동차부품,自動車部品
15,인쇄회로,印刷回路
16,기타광학기기부품,その他の光学機器部品
17,자동차휘발유,カーフイオイル
18,스틸렌,Steelene
19,밸브,バルブ
20,도료,ワニス
21,골프용품,ゴルフ
22,동박,銅
23,기타정밀화학제품,その他の細かい化学物質
24,슬랩,スラブ
25,기타사진영화용재표,他の写真映画
26,기타주철,他の鋳鉄
27,의약품,薬
28,기타합성수지,その他の概要
29,기타기계류,その他の機械
30,윤활유,潤滑剤
31,폴리에틸렌테레프탈레이트필름,ポリエチレンテレフタレートフィルム
32,금,金
33,"불꽃점화식 1,500시시 초과",花火
34,기타유리제품,他のガラス製品
35,철근,鉄筋
36,원유,原油
37,무계목강관,Mu -Gye Mokgang
38,광학렌즈,光レンズ
39,운반하역기계,輸送機
40,전자현미경,電子顕微鏡
41,기타승용차,他の乗用車
42,안료,顔料
43,경작기계,合意
44,금속절삭가공기계,金属
45,빌레트,ビレット
46,톨루엔,トルエン
47,기타집적회로반도체,その他のコレクション回路半導体
48,기타기계요소,他の機械的要素
49,기타계측기,その他
50,베어링,ベアリング
51,기타종이제품,他の種この製品
52,연결부품,パーツを接続します
53,기타컴퓨터부품,他のコンピューター部品
54,기타전자응용기기,その他の電子アプリケーションデバイス
55,기타건설중장비,その他の建設装置
56,기타타일및도자기제품,他のタイルや陶器製品
57,반도체제조용장비부품,半導体機器部品
58,기타문구,他のフレーズ
59,액체펌프,液体ポンプ
60,기타금속광물,他の金属光
61,철및비합금강선재,鉄と非補償
62,광택제 등,光沢
63,에틸렌중합체필름,エチレンポリマー
64,변성기,変態
65,트랜지스터,トランジスタ
66,스테인레스및합금강선재,ステンレスおよび合金鋼線
67,원동기부품,不思議な部分
68,교류 및 직류겸용 전동기,ExchangeおよびDCモーター
69,기타기계류부품,他の係留部品
70,합금강냉연강판,合金リバーコールドローリングスチールプレート
71,스테인레스및합금강봉강,ステンレスおよび合金鋼のボンガン
72,현상하지않은필름,前例のない映画
73,기타알루미늄제품,他のアルミニウム製品
74,철강재용기,鋼
75,프로필렌중합체필름,プロピレンポリマー
76,펌프부품,パンプパーツ
77,분석시험기부품,分析テスター部品
78,계측기부품,楽器
79,실리콘수지,シリコン樹脂
80,전동축및기어,電気軸とギア
81,기체펌프,ガスポンプ
82,동괴,動的
83,철및비합금강H형강,鉄と非ハプガム川H字型の鋼
84,X선및방사선기기부품,X -Rayおよび放射デバイスの部品
85,기타광학기기,他の光学系
86,판유리,板ガラス
87,철및비합금강L형강,鉄と非ガンガンL字型の講義
88,니켈분,ニッケル
89,자동제어기,自動コントローラー
90,오락용구,エンターテイメント
91,기타원동기,その他の動機
92,필기구,書き込み楽器
93,"메이크업, 기초화장품",メイク、基本的な化粧品
94,기타요업제품,その他のビジネス製品
95,사진현상기기,写真現象
96,기타비철금속제품,その他の非アイアン金属製品
97,염료,染料
98,기타산업기계,その他の産業機械
99,압축점화식내연기관,圧縮点
100,기타개별소자반도체,他の個々のデバイス半導体
101,기타석유제품,他の石油製品
102,저압스위치 및 차단기,低圧スイッチとブレーカー
103,철및비합금강기타형강,鉄と非コンパクト川
104,기타산업기계부품,その他の産業機械部品
105,수확탈곡기계,収穫機
106,자동차용 내연기관,自動車
107,물리화학분석기,物理
108,용융아연도강판,溶融
109,계전기,リレー
110,폴리메탄아크릴산메틸,ポリメタンアクリル酸メチル
111,LCD,LCD
112,인버터,インバーター
113,탄소부품,炭素部品
114,프로필렌,プロピレン
115,기타기초유분,他の初乳
116,접착제,のり
117,기타고무제품,他のゴム製品
118,벤젠,ベンゼン
119,지게차,フォークリフト
120,인쇄기계,印刷機
121,고무플라스틱가공기계,ゴム製のプラスチック加工機
122,동판,銅
123,기타비금속광물,他の非金属光水
124,메모리반도체,メモリ半導体
125,기타인조섬유장섬유사,他の繊維繊維
126,유량압력계,流れ圧力システム
127,사무용품,事務用品
128,고지,知らせ
129,부직포,不織布
130,스테인레스강열연강판,ステンレス鋼
131,식품가공기계,食品機械
132,기타철강제품,その他のスチール製品
133,기타고속도강및초경공구,その他の高速川と超光ツール
134,난방및전열기기부품,暖房および暖房機器部品
135,동스크랩,ドンスクラップ
136,철및비합금강냉연강판,鉄と非ゴールドリバーコールドローリングスチールプレート
137,식품포장기계,食品包装機
138,금속공작기계부품,金属製の工作機械部品
139,센서,センサー
140,도금강판,メッキ鋼
141,기타어류,他の魚
