,품목,번역
0,LNG(액상천연가스),LNG (liquid natural gas)
1,유연탄,bituminous coal
2,철광,iron mine
3,쇠고기,beef
4,동광,copper mine
5,원유,crude oil
6,금,gold
7,아연광,zinc
8,무연탄,anthracite
9,금속광물,metal minerals
10,알루미늄,aluminum
11,원당,raw sugar
12,밀,wheat
13,니켈 ,nickel
14,부탄,butane
15,프로판,propane
16,양고기,lamb
17,사료,feed
18,나프타,naphtha
19,고철,scrap iron
20,비금속광물,nonmetalic minerals
21,소금,salt
22,안료,pigment
23,동스크랩,copper scrap
24,종자류,seed
25,로얄제리,royal jelly
26,암모니아수,ammonia water
27,원목,Solid wood
28,모류,caterpillar
29,자동차부품,Automotive Parts
30,쌀,rice
31,치즈,cheese
32,육류,meat
33,보리,barley
34,의약품,medicine
35,무기류,weaponry
36,식물성유지,vegetable oil
37,포도주,wine
38,화장품,cosmetics
39,비철금속제품,nonferrous metal products
40,동,copper
41,옥수수,corn
42,감자,potato
43,우지,beef tallow
44,분유,Powdered milk
45,세안용품,Cleansing supplies
46,보리가루,Barley powder
47,박류,gourd
48,면,noodle
49,건설중장비부품,Construction heavy equipment parts
50,낙농품,Dairy
51,견과류,nuts
52,의료용전자기기,Medical electronics
53,포도,grape
54,향수,perfume
55,골판지원지,Cardboard
56,HDD,HDD
57,초코렛,Chocolate
58,의료용기기부품,Medical container parts
59,어류,Fish
60,돼지고기,Pork
61,음료,beverage
62,정밀화학원료,Fine chemicals
63,연분,fate
64,산업기계부품,Industrial machinery
65,의료용기기,Medical container
66,액체펌프,Liquid pump
67,버터,butter
68,곡류,Grain
69,벤젠,benzene
70,금속절삭가공기계,Metal cutting machine
71,우유,milk
72,농산가공품,agricultural products
73,주류,alcohol
74,기계류,machinery
75,플라스틱제품,Plastic
76,당밀,molasses
77,유리공예품,Glass crafts
78,무기류부품,Weapon parts
79,의섬유제품,Fiber
80,유지가공품,dairy products
81,과일주스,Fruit juice
82,수산부산물,Fishery
83,종이,Paper
84,계측기,measuring instrument
85,주철,cast iron
86,정밀화학제품,Fine chemicals
87,소스류,Sauce
88,마이크로폰,microphone
89,인쇄용지,Printing paper
90,연,lead
91,윤활유,lubricating oil
92,난방및전열기기,heating machine
93,사탕,candy
94,꿀,honey
95,컴퓨터,computer
96,두발용 제품,Haircut
97,크라프트지,kraft paper
98,단백질류,Protein
99,화학공업제품,Chemical
100,커피,coffee
101,차,car
