,품목,번역(번체),번역(간체)
0,메모리 반도체,存儲芯片,存储芯片
1,정밀화학원료,精密化學原料,精密化学原料
2,노트북,筆記本,笔记本
3,프로세스와 콘트롤러,進程與控制器,进程与控制器
4,자동차 부품,汽車配件,汽车配件
5,집적회로반도체,集成電路半導體,集成电路半导体
6,와이어하네스,鋼絲繩,钢丝绳
7,전산기록매체,計算機記錄媒體,计算机记录媒体
8,컴퓨터,電腦,电脑
9,화학공업 제품,化工產品,化工产品
10,플라스틱 제품,塑料製品,塑料制品
11,알루미늄판,鋁板,铝板
12,인쇄회로,印刷電路,印刷电路
13,컴퓨터 부품,電腦配件,电脑配件
14,주철,鑄鐵,铸铁
15,컴퓨터 주변기기,電腦周邊設備,电脑周边设备
16,석유 화학제품,石化產品,石化产品
17,소형 전동기,小型電動機,小型电动机
18,데이터 디스플레이 장치,數據顯示設備,数据显示设备
19,신발,鞋,鞋
20,비금속광물,非金屬礦物,非金属矿物
21,문구,文具,文具
22,가정용전자,家用電子,家用电子
23,철구조물,鐵結構物,铁结构物
24,펌프,泵,泵
25,비합금강열연강판,非合金鋼熱軋鋼板,非合金钢热轧钢板
26,화물선,貨輪,货轮
27,합성수지,合成樹脂,合成树脂
28,의자,椅子,椅子
29,망간제품,錳製品,锰制品
30,실리콘 웨이퍼,硅晶片,硅晶片
31,축전지,蓄電池,蓄电池
32,고정식 축전기,固定式蓄電器,固定式蓄电器
33,밸브,閥門開關,阀门开关
34,무계목강관,無雞木鋼管,无鸡木钢管
35,용융아연도강판,熔融鋅鋼板,熔融锌钢板
36,의약품,醫藥品,医药品
37,요업제품,窯業產品,窑业产品
38,광학렌즈,光學透鏡,光学透镜
39,철강금속제품,鋼鐵金屬製品,钢铁金属制品
40,전열기기,電熱器,电热器
41,종이제품,紙製品,纸制品
42,연결부품,連接部件,连接部件
43,스테인레스 강냉연강판,不鏽鋼冷軋鋼板,不锈钢冷轧钢板
44,가구,傢俱,家具
45,전자부품,電子元件,电子元件
46,스웨터,毛衣,毛衣
47,착색아연도강판,着色鍍鋅鋼板,着色镀锌钢板
48,건설 중장비 부품,建築重型機械零件,建筑重型机械零件
49,의료위생용품,醫療衛生用品,医疗卫生用品
50,기계 요소,機械要素,机械要素
51,의섬유제품,纖維製品,纤维制品
52,정밀 화학제품,精密化學制品,精密化学制品
53,실리콘철,硅鐵,硅铁
54,완구,玩具,玩具
55,알루미늄박,鋁箔,铝箔
56,기타계측기,其他計測器,其他计测器
57,트랜지스터,晶體管,晶体管
58,다이오드,二極管,二极管
59,폴리에스터사,滌綸公司,涤纶公司
60,운반하역기계,搬運裝卸機械,搬运装卸机械
61,부직포,無紡布,无纺布
62,절연코드세트,絕緣電線套裝,绝缘电线套装
63,스테인레스및합금강봉강,不鏽鋼及合金鋼棒鋼,不锈钢及合金钢棒钢
64,안료,顏料,颜料
65,섬유기계,纖維機械,纤维机械
66,실리콘수지,硅樹脂,硅树脂
67,동박,銅箔,铜箔
68,폴리에스테르수지,聚酯樹脂,聚酯树脂
69,직물제가방,紡織品制包,纺织品制包
70,산업기계,工業機械,工业机械
71,안전유리,安全玻璃,安全玻璃
72,전동축 및 기어,傳動軸及齒輪,传动轴及齿轮
73,박류,葫蘆類,葫芦类
74,공기 조절기 부품,空氣調節器配件,空气调节器配件
75,농산가공품,農產品加工品,农产品加工品
76,전자응용기기,電子應用設備,电子应用设备
77,스피커,揚聲器,扬声器
78,기계류,機械類,机械类
79,스포츠화,運動鞋,运动鞋
80,운동용구,運動用具,运动用具
81,비합금강중후판,非合金鋼中厚板,非合金钢中厚板
82,침구 이불,被褥,被褥
83,비철금속제품,有色金屬製品,有色金属制品
84,폴리아미드수지,聚酰胺樹脂,聚酰胺树脂
85,LCD,LCD,LCD
86,식탁 용품,餐桌用品,餐桌用品
87,주방 용품,廚房用品,厨房用品
88,전동기,電動機,电动机
89,볼트 및 너트,螺栓及螺母,螺栓及螺母
90,펌프 부품,泵配件,泵配件
91,진공청소기,真空吸塵器,真空吸尘器
92,철강재용기,鋼材容器,钢材容器
93,운반하역기계부품,搬運裝卸機械配件,搬运装卸机械配件
94,금속광물,金屬礦物,金属矿物
95,직류 전동기,直流電動機,直流电动机
96,전자 게임기,電子遊戲機,电子游戏机
97,변성기,變聲期,变声期
98,반도체 제조 용장비,半導體制造設備,半导体制造设备
99,메인보드,主板,主板
100,질소비료,氮肥,氮肥
